, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,1,Abedul,Arbusto,Hierba de San Juan,Hypericum patulum,Hypericaceae,Referencia,https://colombia.inaturalist.org/taxa/52761-Hypericum,,,Cultivada,O Europa,,
,2,Abutilón,Arbusto,Farolito,Callianthe striata,Malvaceae,Referencia,https://colombia.inaturalist.org/taxa/204230-Abutilon-pictum,,,Cultivada,Brasil,,
,3,Abutilón farolito,Arbusto,,Callianthe vexillarium,Malvaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Callianthe+vexillarium,,,Cultivada,Argentina. Brasil y Uruguay,,
,4,Abutilón rojo,Arbusto,Campanita,Abutilón insigne Planch,Malvaceae,Referencia,https://colombia.inaturalist.org/taxa/534846-Abutilon-insigne,,,Cultivada,Andes,,
,5,Abutilón variegado,Arbusto,,Calliante Straiata– Thompsonii,Malvaceae,Referencia,https://www.guiaverde.com/guia-de-plantas/abutilon-pictum--thompsonii--29/,,,Cultivada,Brasil,,
,6,Acacia cognata,Arbusto,Acacia australiana,Acacia cognata,Fabaceae,Referencia,https://ecuador.inaturalist.org/taxa/424657-Acacia-cognata,,,Cultivada,Australia,,
,7,Acacia japonesa,Árbol,,Acacia melanoxylon R. Brown,Mimosaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/251,,,Cultivada e invasora,Australia,,
,8,Acacia melaleuca,Arbusto,,Acacia verticillata ssp. ruscifolia,Fabaceae,Referencia,https://spain.inaturalist.org/taxa/564181-Acacia-verticillata-ruscifolia,,,Naturalizada,Australia,,
,9,Acacia morada,Árbol,,Acacia baileyana,Fabaceae,Referencia,https://es.wikipedia.org/wiki/Acacia_baileyana,,,Cultivada e invasora,Australia,,
,10,Acacia negra,Árbol,Acacia japonesa,Acacia decurrens,Fabaceae,Referencia,https://www.car.gov.co/uploads/files/5bd8b917bae46.pdf,,,Cultivada e invasora,Australia,,
,11,Acacia perla,Arbusto,,Acacia podalyriifolia,Fabaceae,Referencia,https://ecuador.inaturalist.org/taxa/75252-Acacia-podalyriifolia,,,Cultivada,Australia,,
,12,Acanto,Hierba,,Acanthus mollis,Acanthaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Acanthus%20mollis%20L./data,,,Cultivada,Mediterráneo,,
,13,Acederilla,Hierba,,Oxalis corniculata,Oxalidaceae,Referencia,http://www.conabio.gob.mx/malezasdemexico/oxalidaceae/oxalis-corniculata/fichas/ficha.htm,,,Naturalizada,Subcosmopolita,,
,14,Acelga,Hierba,,Beta vulgaris,Amaranthaceae,Referencia,https://colombia.inaturalist.org/taxa/54498-Beta-vulgaris,,,Cultivada,Europa,,
,15,Achira,Hierba,,Canna indica,Cannaceae,Referencia,https://agronegocios.uniandes.edu.co/2021/09/conociendo-la-planta-de-achira/,,,Nativa,"Andes, Amazonia, E.U., Antillas, Argentina",,EP
,16,Aeonium,Suculenta,,Aeonium kiwi,Crassulaceae,Referencia,https://succulentavenue.com/aeonium-kiwi-guia-de-cuidados/,,,Cultivada,Islas Canarias,,
,17,Afelandra,Hierba,Planta cebra,Aphelandra squarrosa,Acanthaceae,Referencia,https://colombia.inaturalist.org/taxa/322316-Aphelandra-squarrosa,,,Cultivada,Brasil,,
,18,Agapanto,Hierba,,Agapanthus praecox,Amaryllidaceae,Referencia,https://colombia.inaturalist.org/taxa/325633-Agapanthus-praecox-praecox,,,Cultivada,Suráfrica,,
,19,Agapanto blanco,Hierba,,Agapanthus africanus 'Albus',Amaryllidaceae,Referencia,"https://www.guiaverde.com/guia-de-plantas/agapanthus-africanus-albus-2679/#:~:text=Nombre%20común%3A%20Flor%20de%20amor,Agapanto%20blanco%2C%20Lirio%20africano%20blanco.",,,Cultivada,Suráfrica,,
,20,Agave ,Hierba,,Agave attenuata,Asparagaceae,Referencia,https://www.agromatica.es/agave-attenuata/,,,Cultivada,México,,
,21,Aguacate,Árbol,,Persea americana,Lauraceae,Referencia,https://colombia.inaturalist.org/taxa/62831-Persea-americana,,,Cultivada,Centroamérica,,C5
,22,Aguadulce,"Arbusto, arbusto, árbol",,Palicourea angustifolia,Rubiaceae,Referencia,https://colombia.inaturalist.org/taxa/127037-Vernonia-gigantea,,,Nativa,Centroamérica a Perú,,
,23,Ají ,"Arbusto, trepadora",Ají cristal,Capsicum pubenscens,Solanaceae,Referencia,https://es.wikipedia.org/wiki/Capsicum_pubescens,,,Nativa,Colombia a Bolivia,,
,24,Albahaca,Hierba aromática,,Ocimum basiliscum,Lamiaceae,Referencia,https://es.wikipedia.org/wiki/Ocimum_basilicum,,,Nativa,América,,
,25,Alcaparro,Árbol,,Senna viarum,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/509218-Senna-viarum,,,Nativa,"Colombia, Ecuador",,
,26,Alcaparro enano,Arbusto,Alcaparrito,Senna multiglandulosa,Fabaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Senna+multiglandulosa,,,Nativa,México a Bolivia,,
,27,Algodoncillo,Arbusto,Algodoncillo tropical,Asclepias curassavica,Asclepiadoideae,Referencia,https://colombia.inaturalist.org/taxa/75602-Asclepias-curassavica,,,Nativa,E.U a Argentins,,
,28,Aliso,Árbol,Chaquiro,Alnus acuminata Kunth,Betulaceae,Referencia,https://colombia.inaturalist.org/taxa/189148-Alnus-acuminata,,,Nativa,México a Argentina,,
